Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 POPCEN)","POPULATION
(2015 POPCEN)",
021526016,Lubo,Bgy,,,,R," 1,099 ",
021526017,Mabitbitnong,Bgy,,,,R, 333 ,
021526018,Mapitac,Bgy,,,,R, 252 ,
021526019,Masical,Bgy,,,,R, 409 ,
021526020,Matalao,Bgy,,,,R, 914 ,
021526021,Nag-uma,Bgy,,,,R, 638 ,
021526022,Namuccayan,Bgy,,,,R," 1,054 ",
021526023,Niug Norte,Bgy,,,,R, 732 ,
021526024,Niug Sur,Bgy,,,,R, 708 ,
021526025,Palusao,Bgy,,,,R, 432 ,
021526026,San Manuel,Bgy,,,,R, 850 ,
021526027,San Roque,Bgy,,,,R, 52 ,
021526028,Santa Felicitas,Bgy,,,,R, 450 ,
021526029,Santa Maria,Bgy,,,,R, 326 ,
021526030,Sidiran,Bgy,,,,R, 539 ,
021526031,Tabang,Bgy,,,,R," 1,458 ",
021526032,Tamucco,Bgy,,,,R, 649 ,
021526033,Virginia,Bgy,,,,R, 752 ,
021527000,Solana,Mun,,,1st,," 82,502 ",
021527001,Andarayan North,Bgy,,,,R," 2,398 ",
021527002,Lannig,Bgy,,,,R," 1,634 ",
021527003,Bangag,Bgy,,,,R," 4,200 ",
021527004,Bantay,Bgy,,,,R," 1,597 ",
021527005,Basi East,Bgy,,,,R," 1,747 ",
021527006,Bauan East,Bgy,,,,R," 2,156 ",
021527007,Cadaanan,Bgy,,,,R," 2,438 ",
021527008,Calamagui,Bgy,,,,R," 1,987 ",
021527009,Carilucud,Bgy,,,,R," 1,831 ",
021527010,Cattaran,Bgy,,,,R," 2,597 ",
021527011,Centro Northeast (Pob.),Bgy,,,,R," 1,082 ",
021527012,Centro Northwest (Pob.),Bgy,,,,R," 1,731 ",
021527013,Centro Southeast (Pob.),Bgy,,,,U, 800 ,
021527014,Centro Southwest (Pob.),Bgy,,,,R," 1,095 ",
021527015,Lanna,Bgy,,,,R," 3,835 ",
021527016,Lingu,Bgy,,,,R," 2,000 ",
021527017,Maguirig,Bgy,,,,R," 2,733 ",
021527018,Nabbotuan,Bgy,,,,R," 1,392 ",
021527019,Nangalisan,Bgy,,,,R," 2,824 ",
021527020,Natappian East,Bgy,,,,R," 2,038 ",
021527021,Padul,Bgy,,,,R," 1,836 ",
021527022,Palao,Bgy,,,,R," 1,437 ",
021527023,Parug-parug,Bgy,,,,R," 1,579 ",
021527024,Pataya,Bgy,,,,R, 504 ,
021527025,Sampaguita,Bgy,,,,U," 5,602 ",
021527026,Maddarulug,Bgy,Santo Domingo,,,U," 1,088 ",
021527030,Ubong,Bgy,,,,R," 1,474 ",
021527033,Dassun,Bgy,,,,R," 4,000 ",
021527034,Furagui,Bgy,,,,R," 1,701 ",
021527035,Gadu,Bgy,,,,R," 3,414 ",
021527036,Iraga,Bgy,,,,R," 4,265 ",
021527037,Andarayan South,Bgy,,,,R," 1,775 ",
021527038,Basi West,Bgy,,,,R," 2,181 ",
021527039,Bauan West,Bgy,,,,R," 2,585 ",
021527040,Calillauan,Bgy,,,,R," 1,058 ",
021527041,Gen. Eulogio Balao,Bgy,,,,R," 1,604 ",
021527042,Natappian West,Bgy,,,,R," 2,663 ",
021527043,Malalam-Malacabibi,Bgy,,,,R," 1,621 ",
021528000,Tuao,Mun,,,1st,," 61,535 ",
021528001,Accusilian,Bgy,,,,R," 2,450 ",
021528002,Alabiao,Bgy,,,,R," 1,426 ",
021528003,Alabug,Bgy,,,,R," 3,229 ",
021528004,Angang,Bgy,,,,R," 1,101 ",
021528005,Bagumbayan,Bgy,,,,R," 4,084 ",
021528006,Barancuag,Bgy,,,,R," 1,308 ",
021528007,Battung,Bgy,,,,R," 2,359 ",
021528008,Bicok,Bgy,,,,R," 1,465 ",
021528009,Bugnay,Bgy,,,,R," 1,989 ",
021528010,Balagao,Bgy,,,,R," 3,649 ",
021528011,Cagumitan,Bgy,,,,R," 1,735 ",
021528012,Cato,Bgy,,,,R," 2,301 ",
021528013,Culong,Bgy,,,,R," 2,130 ",
021528014,Dagupan,Bgy,,,,R," 2,021 ",
021528015,Fugu,Bgy,,,,R," 1,838 ",
021528016,Lakambini,Bgy,,,,R," 1,065 ",
021528017,Lallayug,Bgy,,,,R," 2,368 ",
021528019,Malumin,Bgy,,,,R," 1,686 ",
021528020,Mambacag,Bgy,,,,R," 1,241 ",
021528021,San Vicente,Bgy,Maleg,,,R," 1,019 ",
021528022,Mungo,Bgy,,,,R," 4,709 ",
021528023,Naruangan,Bgy,,,,R," 2,135 ",
021528024,Palca,Bgy,,,,R," 1,770 ",
021528025,Pata,Bgy,,,,R," 2,207 ",
021528026,San Juan,Bgy,,,,R," 1,104 ",
021528027,San Luis,Bgy,Gurengad,,,R," 2,369 ",
021528028,Santo Tomas,Bgy,,,,R," 1,537 ",
021528029,Taribubu,Bgy,,,,R," 1,626 ",
021528030,Villa Laida,Bgy,,,,R, 956 ,
021528031,Poblacion I,Bgy,Ward I Centro,,,R, 945 ,
021528032,Poblacion II,Bgy,Ward II Centro,,,R, 829 ,
021528033,Malalinta,Bgy,,,,R, 884 ,
021529000,Tuguegarao City (Capital),City,,CC,3rd,," 153,502 ",
021529001,Annafunan East,Bgy,,,,R," 4,207 ",
021529002,Atulayan Norte,Bgy,,,,R," 3,578 ",
021529003,Bagay,Bgy,,,,R," 3,638 ",
021529005,Centro 1 (Pob.),Bgy,,,,U," 1,158 ",
021529006,Centro 4 (Pob.),Bgy,,,,U, 566 ,
021529007,Centro 5 (Pob.),Bgy,,,,R," 1,126 ",
021529008,Centro 6 (Pob.),Bgy,,,,U, 195 ,
021529009,Centro 7 (Pob.),Bgy,,,,U, 262 ,
021529010,Centro 8 (Pob.),Bgy,,,,U, 125 ,
021529011,Centro 9 (Pob.),Bgy,,,,R, 969 ,
021529013,Centro 10 (Pob.),Bgy,,,,U," 2,282 ",
021529014,Centro 11 (Pob.),Bgy,,,,U," 2,990 ",
021529015,Buntun,Bgy,,,,U," 4,373 ",
021529016,Caggay,Bgy,,,,U," 7,261 ",
021529017,Capatan,Bgy,,,,R," 3,337 ",
021529018,Carig,Bgy,,,,U," 4,536 ",
021529019,Caritan Norte,Bgy,,,,R," 3,093 ",
021529020,Caritan Sur,Bgy,,,,U," 1,833 ",
021529021,Cataggaman Nuevo,Bgy,,,,U," 8,161 ",
021529022,Cataggaman Viejo,Bgy,,,,R," 4,246 ",
021529023,Gosi Norte,Bgy,,,,R," 1,016 ",
021529024,Larion Alto,Bgy,,,,R," 1,856 ",
021529025,Larion Bajo,Bgy,,,,R," 2,345 ",
021529026,Libag Norte,Bgy,,,,R," 2,384 ",
021529027,Linao East,Bgy,,,,U," 6,939 ",
021529029,Nambbalan Norte,Bgy,,,,R," 1,433 ",
021529030,Pallua Norte,Bgy,,,,R," 2,450 ",
021529031,Pengue,Bgy,Pengue-Ruyu,,,U," 5,629 ",
021529032,Tagga,Bgy,,,,R," 1,346 ",
021529033,Tanza,Bgy,,,,U," 5,665 ",
021529034,Ugac Norte,Bgy,,,,U," 9,615 ",
021529035,Centro 2 (Pob.),Bgy,,,,U, 553 ,
021529036,Centro 3 (Pob.),Bgy,,,,R, 339 ,
021529037,Centro 12 (Pob.),Bgy,,,,U," 2,391 ",
021529038,Annafunan West,Bgy,,,,R," 3,310 ",
021529039,Atulayan Sur,Bgy,,,,R," 4,404 ",
021529040,Caritan Centro,Bgy,,,,U," 4,872 ",
021529041,Cataggaman Pardo,Bgy,,,,R," 3,292 ",
021529042,Dadda,Bgy,,,,R," 1,167 ",
021529043,Gosi Sur,Bgy,,,,R," 1,297 ",
021529044,Leonarda,Bgy,,,,U," 2,503 ",
021529045,Libag Sur,Bgy,,,,R," 2,708 ",
021529046,Linao Norte,Bgy,,,,R," 3,005 ",
021529047,Linao West,Bgy,,,,R," 1,665 ",
021529048,Nambbalan Sur,Bgy,,,,R, 746 ,
021529049,Pallua Sur,Bgy,,,,U," 2,683 ",
021529050,Reyes,Bgy,,,,R," 2,267 ",
021529051,San Gabriel,Bgy,,,,U," 6,828 ",
021529052,Ugac Sur,Bgy,,,,U," 10,858 ",
023100000,Isabela,Prov,,,1st,," 1,593,566 ",
023101000,Alicia,Mun,,,1st,," 71,504 ",
023101001,Amistad,Bgy,,,,R," 1,786 ",
023101002,Antonino (Pob.),Bgy,,,,U," 4,007 ",
023101003,Apanay,Bgy,,,,R," 1,328 ",
023101004,Aurora,Bgy,,,,U," 4,029 ",
023101005,Bagnos,Bgy,,,,R," 2,364 ",
023101006,Bagong Sikat,Bgy,,,,R, 803 ,
023101007,Bantug-Petines,Bgy,,,,R," 2,210 ",
023101008,Bonifacio,Bgy,,,,R, 953 ,
023101009,Burgos,Bgy,,,,U," 2,479 ",
023101010,Calaocan (Pob.),Bgy,,,,U," 3,998 ",
023101011,Callao,Bgy,,,,R," 2,058 ",
023101012,Dagupan,Bgy,,,,R," 1,192 ",
023101013,Inanama,Bgy,,,,R," 1,191 ",
023101014,Linglingay,Bgy,,,,R," 2,734 ",
023101015,M.H. del Pilar,Bgy,,,,R," 4,014 ",
023101016,Mabini,Bgy,,,,R," 2,004 ",
023101017,Magsaysay (Pob.),Bgy,,,,U," 1,144 ",
023101018,Mataas na Kahoy,Bgy,,,,R, 847 ,
023101019,Paddad,Bgy,,,,U," 5,616 ",
023101020,Rizal,Bgy,,,,R," 4,146 ",
023101021,Rizaluna,Bgy,,,,R," 1,669 ",
023101022,Salvacion,Bgy,,,,R," 1,664 ",
023101023,San Antonio (Pob.),Bgy,,,,R," 2,100 ",
023101024,San Fernando,Bgy,,,,R," 1,530 ",
023101025,San Francisco,Bgy,,,,R," 1,383 ",
023101026,San Juan,Bgy,,,,R," 1,781 ",
023101027,San Pablo,Bgy,,,,R," 1,014 ",
023101028,San Pedro,Bgy,,,,R," 2,202 ",
023101029,Santa Cruz,Bgy,,,,R," 2,046 ",
023101030,Santa Maria,Bgy,,,,R, 696 ,
023101031,Santo Domingo,Bgy,,,,R," 1,589 ",
023101032,Santo Tomas,Bgy,,,,R," 2,060 ",
023101033,Victoria,Bgy,,,,U," 1,817 ",
023101034,Zamora,Bgy,,,,R," 1,050 ",
023102000,Angadanan,Mun,,,3rd,," 43,061 ",
023102001,Allangigan,Bgy,,,,R, 667 ,
023102002,Aniog,Bgy,,,,R," 1,050 ",
023102003,Baniket,Bgy,,,,R, 466 ,
023102004,Bannawag,Bgy,,,,R, 505 ,
023102005,Bantug,Bgy,,,,R, 463 ,
023102006,Barangcuag,Bgy,,,,R, 786 ,
023102007,Baui,Bgy,,,,R, 374 ,
023102008,Bonifacio,Bgy,,,,R, 439 ,
023102009,Buenavista,Bgy,,,,R," 1,026 ",
023102010,Bunnay,Bgy,,,,R, 631 ,
023102011,Calabayan-Minanga,Bgy,,,,R," 1,802 ",
023102012,Calaccab,Bgy,,,,R," 1,246 ",
023102013,Calaocan,Bgy,,,,R, 863 ,
023102014,Kalusutan,Bgy,,,,R, 244 ,
023102015,Campanario,Bgy,,,,R, 286 ,
023102016,Canangan,Bgy,,,,R, 706 ,
023102017,Centro I (Pob.),Bgy,,,,R," 1,437 ",
023102018,Centro II (Pob.),Bgy,,,,R," 1,828 ",
023102019,Centro III (Pob.),Bgy,,,,R," 1,104 ",
023102020,Consular,Bgy,,,,R, 578 ,
023102021,Cumu,Bgy,,,,R, 964 ,
023102022,Dalakip,Bgy,,,,R, 785 ,
023102023,Dalenat,Bgy,,,,R," 1,513 ",
023102024,Dipaluda,Bgy,,,,R, 571 ,
023102025,Duroc,Bgy,,,,R, 598 ,
023102026,Lourdes,Bgy,El Escaño,,,R, 752 ,
023102027,Esperanza,Bgy,,,,R, 288 ,
023102028,Fugaru,Bgy,,,,R, 927 ,
023102029,Liwliwa,Bgy,,,,R, 319 ,
023102030,Ingud Norte,Bgy,,,,R, 753 ,
023102031,Ingud Sur,Bgy,,,,R, 455 ,
023102032,La Suerte,Bgy,,,,R," 2,062 ",
023102033,Lomboy,Bgy,,,,R, 485 ,
023102034,Loria,Bgy,,,,R," 1,231 ",
023102035,Mabuhay,Bgy,,,,R, 575 ,
023102036,Macalauat,Bgy,,,,R, 705 ,
023102037,Macaniao,Bgy,,,,R, 610 ,
023102038,Malannao,Bgy,,,,R, 235 ,
023102039,Malasin,Bgy,,,,R, 292 ,
023102040,Mangandingay,Bgy,,,,R, 356 ,
023102041,Minanga Proper,Bgy,,,,R, 769 ,
023102042,Pappat,Bgy,,,,R, 542 ,
023102043,Pissay,Bgy,,,,R, 464 ,
023102044,Ramona,Bgy,,,,R, 710 ,
023102045,Rancho Bassit,Bgy,,,,R, 479 ,
023102046,Rang-ayan,Bgy,,,,R," 1,021 ",
023102047,Salay,Bgy,,,,R, 661 ,
023102048,San Ambrocio,Bgy,,,,R, 450 ,
023102049,San Guillermo,Bgy,,,,R, 214 ,
023102050,San Isidro,Bgy,,,,R, 531 ,
023102051,San Marcelo,Bgy,,,,R, 501 ,
023102052,San Roque,Bgy,,,,R, 509 ,
023102053,San Vicente,Bgy,,,,R, 538 ,
023102054,Santo Niño,Bgy,,,,R, 684 ,
023102055,Saranay,Bgy,,,,R, 240 ,
023102056,Sinabbaran,Bgy,,,,R, 361 ,
023102058,Victory,Bgy,,,,R, 396 ,
023102059,Viga,Bgy,,,,R," 1,775 ",
023102060,Villa Domingo,Bgy,,,,R," 1,239 ",
023103000,Aurora,Mun,,,3rd,," 35,017 ",
023103001,Apiat,Bgy,,,,R, 568 ,
023103002,Bagnos,Bgy,,,,R," 1,599 ",
023103003,Bagong Tanza,Bgy,,,,R," 2,622 ",
023103004,Ballesteros,Bgy,,,,R," 1,298 ",
023103005,Bannagao,Bgy,,,,R," 1,154 ",
023103006,Bannawag,Bgy,,,,R, 337 ,
023103007,Bolinao,Bgy,,,,R," 1,369 ",
023103008,Caipilan,Bgy,,,,R, 743 ,
023103009,Camarunggayan,Bgy,,,,R, 805 ,
023103010,Dalig-Kalinga,Bgy,,,,R," 1,071 ",
023103011,Diamantina,Bgy,,,,R, 976 ,
023103012,Divisoria,Bgy,,,,R, 556 ,
023103013,Esperanza East,Bgy,,,,R," 1,205 ",
023103014,Esperanza West,Bgy,,,,R, 952 ,
023103015,Kalabaza,Bgy,,,,R," 1,867 ",
023103016,Rizaluna,Bgy,Lapuz,,,R, 880 ,
023103017,Macatal,Bgy,,,,R, 907 ,
023103018,Malasin,Bgy,,,,R," 1,698 ",
023103019,Nampicuan,Bgy,,,,R, 859 ,
023103020,Villa Nuesa,Bgy,,,,R, 280 ,
023103021,Panecien,Bgy,,,,R, 402 ,
023103022,San Andres,Bgy,,,,R, 579 ,
023103023,San Jose (Pob.),Bgy,,,,R, 484 ,
023103024,San Rafael,Bgy,,,,R, 572 ,
023103025,San Ramon,Bgy,,,,R," 1,045 ",
023103026,Santa Rita,Bgy,,,,R," 2,050 ",
023103027,Santa Rosa,Bgy,,,,R, 966 ,
023103028,Saranay,Bgy,,,,R, 535 ,
023103029,Sili,Bgy,,,,R, 814 ,
023103030,Victoria,Bgy,,,,R, 565 ,
023103031,Villa Fugu,Bgy,,,,R," 1,006 ",
023103032,San Juan (Pob.),Bgy,,,,R," 1,718 ",
023103033,San Pedro-San Pablo (Pob.),Bgy,,,,U," 2,535 ",
023104000,Benito Soliven,Mun,,,4th,," 29,624 ",
023104001,Andabuen,Bgy,,,,R," 2,730 ",
023104002,Ara,Bgy,,,,R, 625 ,
023104003,Binogtungan,Bgy,,,,R, 285 ,
023104004,Capuseran,Bgy,Capurocan,,,R, 919 ,
023104005,Dagupan,Bgy,,,,R, 305 ,
023104006,Danipa,Bgy,,,,R, 683 ,
023104007,District II (Pob.),Bgy,,,,R," 2,080 ",
023104008,Gomez,Bgy,,,,R, 715 ,
023104009,Guilingan,Bgy,,,,R, 576 ,
023104010,La Salette,Bgy,,,,R, 543 ,
023104011,Makindol,Bgy,,,,R, 550 ,
023104012,Maluno Norte,Bgy,,,,R," 1,153 ",
023104013,Maluno Sur,Bgy,,,,R," 1,305 ",
023104014,Nacalma,Bgy,,,,R, 965 ,
023104015,New Magsaysay,Bgy,,,,R, 814 ,
023104016,District I (Pob.),Bgy,,,,R," 3,495 ",
023104017,Punit,Bgy,,,,R, 849 ,
023104018,San Carlos,Bgy,,,,R, 406 ,
023104019,San Francisco,Bgy,,,,R, 549 ,
023104021,Santa Cruz,Bgy,,,,R," 1,133 ",
023104022,Sevillana,Bgy,,,,R, 295 ,
023104023,Sinipit,Bgy,,,,R, 459 ,
023104024,Lucban,Bgy,,,,R, 439 ,
023104025,Villaluz,Bgy,,,,R," 2,218 ",
023104026,Yeban Norte,Bgy,,,,R," 2,238 ",
023104027,Yeban Sur,Bgy,,,,R," 1,584 ",
023104028,Santiago,Bgy,,,,R, 412 ,
023104029,Placer,Bgy,,,,R, 544 ,
023104030,Balliao,Bgy,,,,R, 755 ,
023105000,Burgos,Mun,,,4th,," 23,784 ",
023105001,Bacnor East,Bgy,,,,R, 952 ,
023105002,Bacnor West,Bgy,,,,R," 1,351 ",
023105004,Caliguian (Pob.),Bgy,,,,U," 6,433 ",
023105005,Catabban,Bgy,,,,R," 1,626 ",
023105006,Cullalabo Del Norte,Bgy,,,,R," 1,349 ",
023105007,Cullalabo San Antonio,Bgy,,,,R," 3,103 ",
023105008,Cullalabo Del Sur,Bgy,,,,R," 1,126 ",
023105009,Dalig,Bgy,,,,R," 1,128 ",
023105012,Malasin,Bgy,,,,R," 1,222 ",
023105013,Masigun,Bgy,,,,R, 464 ,
023105014,Raniag,Bgy,,,,R, 700 ,
023105015,San Bonifacio,Bgy,,,,R," 1,285 ",
023105016,San Miguel,Bgy,,,,R," 1,395 ",
023105017,San Roque,Bgy,,,,R," 1,650 ",
023106000,Cabagan,Mun,,,1st,," 50,174 ",
023106001,Aggub,Bgy,,,,R," 1,714 ",
023106002,Anao,Bgy,,,,U," 3,460 ",
023106003,Angancasilian,Bgy,,,,R," 1,155 ",
023106004,Balasig,Bgy,,,,R," 2,163 ",
023106005,Cansan,Bgy,,,,R," 1,448 ",
023106006,Casibarag Norte,Bgy,,,,R," 3,543 ",
023106007,Casibarag Sur,Bgy,,,,R," 2,883 ",
023106008,Catabayungan,Bgy,,,,R," 4,745 ",
023106009,Cubag,Bgy,,,,R," 2,528 ",
023106010,Garita,Bgy,,,,R, 801 ,
023106011,Luquilu,Bgy,,,,R," 2,261 ",
023106012,Mabangug,Bgy,,,,R, 489 ,
023106013,Magassi,Bgy,,,,R," 2,410 ",
023106015,Ngarag,Bgy,,,,R," 1,162 ",
023106016,Pilig Abajo,Bgy,,,,R, 926 ,
023106017,Pilig Alto,Bgy,,,,R," 1,480 ",
023106018,Centro (Pob.),Bgy,,,,U," 1,134 ",
023106019,San Bernardo,Bgy,,,,R," 2,369 ",
023106020,San Juan,Bgy,,,,R," 2,246 ",
023106021,Saui,Bgy,,,,R, 509 ,
023106022,Tallag,Bgy,,,,R," 1,952 ",
023106023,Ugad,Bgy,,,,U," 2,434 ",
023106024,Union,Bgy,,,,R, 785 ,
023106025,Masipi East,Bgy,,,,R," 2,120 ",
023106026,Masipi West,Bgy,,,,R," 1,767 ",
023106027,San Antonio,Bgy,,,,R," 1,690 ",
023107000,Cabatuan,Mun,,,3rd,," 39,413 ",
023107001,Rang-ay,Bgy,Caggong,,,R," 1,878 ",
023107002,Calaocan,Bgy,,,,R," 1,410 ",
023107003,Canan,Bgy,,,,R," 1,921 ",
023107004,Centro (Pob.),Bgy,,,,U," 1,311 ",
023107005,Culing Centro,Bgy,,,,R, 527 ,
023107006,Culing East,Bgy,,,,R, 437 ,
023107007,Culing West,Bgy,,,,R, 977 ,
023107008,Del Corpuz,Bgy,,,,R, 717 ,
023107009,Del Pilar,Bgy,,,,R," 2,003 ",
023107010,Diamantina,Bgy,,,,U," 2,817 ",
023107011,La Paz,Bgy,,,,R," 4,299 ",
023107012,Luzon,Bgy,,,,R," 1,950 ",
023107013,Macalaoat,Bgy,,,,R," 1,148 ",
023107014,Magdalena,Bgy,,,,U," 2,159 ",
023107015,Magsaysay,Bgy,,,,R, 703 ,
023107016,Namnama,Bgy,,,,R," 1,797 ",
023107017,Nueva Era,Bgy,,,,R," 1,685 ",
023107018,Paraiso,Bgy,,,,R," 1,126 ",
023107019,Sampaloc,Bgy,,,,R," 2,974 ",
023107020,San Andres,Bgy,Teodoro Abad,,,U," 2,018 ",
023107021,Saranay,Bgy,,,,R," 3,704 ",
023107022,Tandul,Bgy,,,,R," 1,852 ",
023108000,City of Cauayan,City,,CC,3rd,," 129,523 ",
023108001,Alicaocao,Bgy,,,,R," 1,564 ",
023108002,Alinam,Bgy,,,,R," 1,167 ",
023108003,Amobocan,Bgy,,,,R," 1,151 ",
023108004,Andarayan,Bgy,,,,R, 426 ,
023108006,Baculod,Bgy,,,,R," 1,679 ",
023108007,Baringin Norte,Bgy,,,,R, 231 ,
023108008,Baringin Sur,Bgy,,,,R," 1,118 ",
023108009,Buena Suerte,Bgy,,,,R," 1,126 ",
023108010,Bugallon,Bgy,,,,R, 553 ,
023108011,Buyon,Bgy,,,,R," 1,255 ",
023108012,Cabaruan,Bgy,,,,U," 7,150 ",
023108014,Cabugao,Bgy,,,,R, 782 ,
023108015,Carabatan Chica,Bgy,,,,R, 617 ,
023108016,Carabatan Grande,Bgy,,,,R, 291 ,
023108017,Carabatan Punta,Bgy,,,,R, 475 ,
023108018,Carabatan Bacareno,Bgy,,,,R, 243 ,
023108019,Casalatan,Bgy,,,,R, 644 ,
023108020,San Pablo,Bgy,Casap Hacienda,,,U," 1,736 ",
023108022,Cassap Fuera,Bgy,,,,R, 111 ,
023108023,Catalina,Bgy,,,,R, 106 ,
023108024,Culalabat,Bgy,,,,R, 898 ,
023108025,Dabburab,Bgy,,,,R," 1,117 ",
023108028,De Vera,Bgy,,,,R, 822 ,
023108029,Dianao,Bgy,,,,R, 675 ,
023108030,Disimuray,Bgy,,,,R," 1,052 ",
023108031,District I (Pob.),Bgy,,,,U," 10,662 ",
023108032,District II (Pob.),Bgy,,,,U," 1,817 ",
023108033,District III (Pob.),Bgy,,,,U," 5,465 ",
023108034,Duminit,Bgy,,,,R," 1,514 ",
023108035,Faustino,Bgy,Sipay,,,R," 1,442 ",
023108036,Gagabutan,Bgy,,,,R, 492 ,
023108037,Gappal,Bgy,,,,R," 2,616 ",
023108038,Guayabal,Bgy,,,,R," 1,275 ",
023108039,Labinab,Bgy,,,,R," 2,161 ",
023108040,Linglingay,Bgy,,,,R, 724 ,
023108041,Mabantad,Bgy,,,,R," 1,192 ",
023108043,Maligaya,Bgy,,,,R," 2,273 ",
023108044,Manaoag,Bgy,,,,R," 1,666 ",
023108045,Marabulig I,Bgy,,,,R," 3,993 ",
023108046,Marabulig II,Bgy,,,,R," 1,713 ",
023108048,Minante I,Bgy,,,,U," 6,276 ",
023108049,Minante II,Bgy,,,,U," 2,642 ",
023108050,Nagcampegan,Bgy,,,,R, 307 ,
023108051,Naganacan,Bgy,,,,R," 1,338 ",
023108052,Nagrumbuan,Bgy,,,,R," 3,693 ",
023108053,Nungnungan I,Bgy,,,,R," 1,989 ",
023108054,Nungnungan II,Bgy,,,,R, 943 ,
023108055,Pinoma,Bgy,,,,R," 3,606 ",
023108056,Rizal,Bgy,,,,R, 650 ,
023108057,Rogus,Bgy,,,,R," 1,528 ",
023108058,San Antonio,Bgy,,,,R," 2,988 ",
023108059,San Fermin,Bgy,,,,U," 10,856 ",
023108060,San Francisco,Bgy,,,,R," 2,322 ",
023108061,San Isidro,Bgy,,,,R," 1,120 ",
023108062,San Luis,Bgy,,,,U," 2,367 ",
023108064,Santa Luciana,Bgy,Daburab 2,,,R," 2,013 ",
023108065,Santa Maria,Bgy,,,,R, 905 ,
023108066,Sillawit,Bgy,,,,U," 2,885 ",
023108067,Sinippil,Bgy,,,,R, 306 ,
023108069,Tagaran,Bgy,,,,R," 4,271 ",
023108070,Turayong,Bgy,,,,U," 3,198 ",
023108071,Union,Bgy,,,,R," 1,407 ",
023108072,Villa Concepcion,Bgy,,,,R," 3,647 ",
023108073,Villa Luna,Bgy,,,,R," 1,863 ",
023108074,Villaflor,Bgy,,,,R, 409 ,
023109000,Cordon,Mun,,,3rd,," 42,926 ",
023109001,Aguinaldo,Bgy,Rizaluna Este,,,R, 909 ,
023109002,Calimaturod,Bgy,,,,R, 393 ,
023109003,Capirpiriwan,Bgy,,,,U," 3,775 ",
023109004,Caquilingan,Bgy,San Luis,,,R," 2,604 ",
023109005,Dallao,Bgy,,,,R," 2,111 ",
023109006,Gayong,Bgy,,,,R," 2,315 ",
023109007,Laurel,Bgy,Centro Norte,,,R," 1,109 ",
023109008,Magsaysay,Bgy,Centro Sur Oeste,,,R, 514 ,
023109009,Malapat,Bgy,,,,R," 2,071 ",
023109011,Osmena,Bgy,Centro Sur Este,,,R," 1,091 ",
023109012,Quezon,Bgy,Centro Norte Este,,,R, 921 ,
023109013,Quirino,Bgy,Manasin,,,R," 2,164 ",
023109014,Rizaluna,Bgy,Rizaluna Oeste,,,R," 2,646 ",
023109015,Roxas Pob.,Bgy,Centro Sur,,,R, 941 ,
023109016,Sagat,Bgy,,,,R," 1,813 ",
023109017,San Juan,Bgy,San Juan Este,,,R, 669 ,
023109018,Taliktik,Bgy,,,,R," 1,600 ",
023109019,Tanggal,Bgy,,,,R," 1,027 ",
023109020,Tarinsing,Bgy,,,,R," 1,448 ",
023109021,Turod Norte,Bgy,,,,R," 1,230 ",
023109022,Turod Sur,Bgy,,,,R," 3,811 ",
023109023,Villamiemban,Bgy,,,,R, 788 ,
023109024,Villamarzo,Bgy,,,,R," 1,885 ",
023109025,Anonang,Bgy,Balitoc,,,R," 1,692 ",
023109026,Camarao,Bgy,,,,R, 938 ,
023109027,Wigan,Bgy,,,,R," 2,461 ",
023110000,Dinapigue,Mun,,,1st,," 5,005 ",
023110001,Ayod,Bgy,,,,R, 242 ,
023110002,Bucal Sur,Bgy,,,,R, 729 ,
023110003,Bucal Norte,Bgy,,,,R, 234 ,
023110004,Dibulo,Bgy,,,,R," 1,135 ",
023110005,Digumased (Pob.),Bgy,,,,U," 2,396 ",
023110006,Dimaluade,Bgy,,,,R, 269 ,
023111000,Divilacan,Mun,,,2nd,," 5,687 ",
023111003,Dicambangan,Bgy,,,,R, 349 ,
023111004,Dicaroyan,Bgy,,,,R, 333 ,
023111005,Dicatian,Bgy,,,,R, 392 ,
023111006,Bicobian,Bgy,,,,R, 688 ,
023111007,Dilakit,Bgy,,,,R, 436 ,
023111008,Dimapnat,Bgy,,,,R," 1,072 ",
023111009,Dimapula (Pob.),Bgy,,,,R, 930 ,
023111010,Dimasalansan,Bgy,,,,R, 344 ,
023111011,Dipudo,Bgy,,,,R, 319 ,
023111012,Dibulos,Bgy,,,,R, 206 ,
023111013,Ditarum,Bgy,,,,R, 337 ,
023111016,Sapinit,Bgy,,,,R, 281 ,
023112000,Echague,Mun,,,1st,," 79,094 ",
023112001,Angoluan,Bgy,,,,R, 786 ,
023112002,Annafunan,Bgy,,,,R," 2,466 ",
023112003,Arabiat,Bgy,,,,R," 1,309 ",
023112004,Aromin,Bgy,,,,R, 929 ,
023112005,Babaran,Bgy,,,,R," 1,391 ",
023112006,Bacradal,Bgy,,,,R, 397 ,
023112007,Benguet,Bgy,,,,R, 486 ,
023112008,Buneg,Bgy,,,,R," 1,304 ",
023112009,Busilelao,Bgy,,,,R," 1,030 ",
023112010,Caniguing,Bgy,,,,R, 725 ,
023112011,Carulay,Bgy,,,,R," 1,176 ",
023112012,Castillo,Bgy,,,,R," 1,057 ",
023112013,Dammang East,Bgy,,,,R," 1,233 ",
023112014,Dammang West,Bgy,,,,R," 1,403 ",
